name,aliases,category,room_days,chilled_days,frozen_days,source_note,version
草莓,,fruit,1,5,30,V1 产品估算；实际状态受开封、温度和食品状态影响,v1
香蕉,,fruit,5,7,,V1 产品估算；实际状态受开封、温度和食品状态影响,v1
苹果,,fruit,15,30,180,V1 产品估算；实际状态受开封、温度和食品状态影响,v1
葡萄,,fruit,2,7,90,V1 产品估算；实际状态受开封、温度和食品状态影响,v1
橙子,,fruit,10,21,180,V1 产品估算；实际状态受开封、温度和食品状态影响,v1
梨,,fruit,7,30,180,V1 产品估算；实际状态受开封、温度和食品状态影响,v1
桃,,fruit,2,7,180,V1 产品估算；实际状态受开封、温度和食品状态影响,v1
李子,,fruit,3,7,180,V1 产品估算；实际状态受开封、温度和食品状态影响,v1
樱桃,,fruit,1,5,180,V1 产品估算；实际状态受开封、温度和食品状态影响,v1
蓝莓,,fruit,2,7,180,V1 产品估算；实际状态受开封、温度和食品状态影响,v1
芒果,,fruit,5,7,180,V1 产品估算；实际状态受开封、温度和食品状态影响,v1
菠萝,,fruit,2,5,180,V1 产品估算；实际状态受开封、温度和食品状态影响,v1
西瓜,,fruit,3,7,180,V1 产品估算；实际状态受开封、温度和食品状态影响,v1
哈密瓜,,fruit,5,7,180,V1 产品估算；实际状态受开封、温度和食品状态影响,v1
猕猴桃,,fruit,7,30,180,V1 产品估算；实际状态受开封、温度和食品状态影响,v1
柠檬,,fruit,14,30,180,V1 产品估算；实际状态受开封、温度和食品状态影响,v1
柚子,,fruit,14,30,180,V1 产品估算；实际状态受开封、温度和食品状态影响,v1
石榴,,fruit,14,60,180,V1 产品估算；实际状态受开封、温度和食品状态影响,v1
火龙果,,fruit,5,14,180,V1 产品估算；实际状态受开封、温度和食品状态影响,v1
荔枝,,fruit,2,5,180,V1 产品估算；实际状态受开封、温度和食品状态影响,v1
西兰花,青花菜,vegetable,1,5,180,V1 产品估算；实际状态受开封、温度和食品状态影响,v1
菠菜,,vegetable,1,3,180,V1 产品估算；实际状态受开封、温度和食品状态影响,v1
生菜,,vegetable,1,5,,V1 产品估算；实际状态受开封、温度和食品状态影响,v1
白菜,,vegetable,3,7,180,V1 产品估算；实际状态受开封、温度和食品状态影响,v1
卷心菜,,vegetable,7,21,180,V1 产品估算；实际状态受开封、温度和食品状态影响,v1
胡萝卜,,vegetable,7,30,365,V1 产品估算；实际状态受开封、温度和食品状态影响,v1
土豆,,vegetable,30,90,,V1 产品估算；实际状态受开封、温度和食品状态影响,v1
番茄,西红柿,vegetable,7,10,180,V1 产品估算；实际状态受开封、温度和食品状态影响,v1
黄瓜,,vegetable,3,7,,V1 产品估算；实际状态受开封、温度和食品状态影响,v1
茄子,,vegetable,3,7,180,V1 产品估算；实际状态受开封、温度和食品状态影响,v1
青椒,,vegetable,5,10,180,V1 产品估算；实际状态受开封、温度和食品状态影响,v1
芹菜,,vegetable,3,14,180,V1 产品估算；实际状态受开封、温度和食品状态影响,v1
菜花,花椰菜,vegetable,2,7,180,V1 产品估算；实际状态受开封、温度和食品状态影响,v1
蘑菇,,vegetable,1,5,180,V1 产品估算；实际状态受开封、温度和食品状态影响,v1
洋葱,,vegetable,30,60,180,V1 产品估算；实际状态受开封、温度和食品状态影响,v1
南瓜,,vegetable,30,90,365,V1 产品估算；实际状态受开封、温度和食品状态影响,v1
玉米,,vegetable,2,5,180,V1 产品估算；实际状态受开封、温度和食品状态影响,v1
豆角,,vegetable,2,5,180,V1 产品估算；实际状态受开封、温度和食品状态影响,v1
韭菜,,vegetable,1,5,180,V1 产品估算；实际状态受开封、温度和食品状态影响,v1
油菜,,vegetable,1,5,180,V1 产品估算；实际状态受开封、温度和食品状态影响,v1
猪肉,,meat,,3,180,V1 产品估算；实际状态受开封、温度和食品状态影响,v1
牛肉,,meat,,3,240,V1 产品估算；实际状态受开封、温度和食品状态影响,v1
羊肉,,meat,,3,240,V1 产品估算；实际状态受开封、温度和食品状态影响,v1
鸡肉,,meat,,2,270,V1 产品估算；实际状态受开封、温度和食品状态影响,v1
鸭肉,,meat,,2,180,V1 产品估算；实际状态受开封、温度和食品状态影响,v1
鸡胸肉,,meat,,2,270,V1 产品估算；实际状态受开封、温度和食品状态影响,v1
肉馅,,meat,,1,120,V1 产品估算；实际状态受开封、温度和食品状态影响,v1
香肠,,meat,7,14,60,V1 产品估算；实际状态受开封、温度和食品状态影响,v1
培根,,meat,7,14,30,V1 产品估算；实际状态受开封、温度和食品状态影响,v1
火腿,,meat,7,7,60,V1 产品估算；实际状态受开封、温度和食品状态影响,v1
鲜牛奶,牛奶|纯牛奶,dairy,,7,30,V1 产品估算；实际状态受开封、温度和食品状态影响,v1
酸奶,,dairy,,14,60,V1 产品估算；实际状态受开封、温度和食品状态影响,v1
奶酪,,dairy,,21,180,V1 产品估算；实际状态受开封、温度和食品状态影响,v1
黄油,,dairy,1,90,270,V1 产品估算；实际状态受开封、温度和食品状态影响,v1
淡奶油,,dairy,,7,90,V1 产品估算；实际状态受开封、温度和食品状态影响,v1
炼乳,,dairy,30,90,180,V1 产品估算；实际状态受开封、温度和食品状态影响,v1
奶粉,,dairy,180,365,,V1 产品估算；实际状态受开封、温度和食品状态影响,v1
奶油奶酪,,dairy,,14,60,V1 产品估算；实际状态受开封、温度和食品状态影响,v1
鸡蛋,生鸡蛋|鲜鸡蛋,dairy,7,30,90,V1 产品估算；实际状态受开封、温度和食品状态影响,v1
冰淇淋,,dairy,,,60,V1 产品估算；实际状态受开封、温度和食品状态影响,v1
米饭,,cooked,,2,30,V1 产品估算；实际状态受开封、温度和食品状态影响,v1
面条,,cooked,,2,30,V1 产品估算；实际状态受开封、温度和食品状态影响,v1
